OpportunityID,HighestStage,AccountName,StageName,ACV,CloseDate,Owner,Segment,Region,CreatedDate,LastActivityDate,DaysSinceActivity,ForecastCategory,IsWon,IsClosed,ARRType,CreatedQuarter,CloseQuarter,EnteredCurrentStage,DaysInCurrentStage
OPP-00135,Proposal,Drift Cloud,Proposal,103000,2026-05-22,Aria Stephens,Mid-Market,East,2026-02-12,2026-05-30,23,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-11,103
OPP-00136,Commit,Cognism Platform,Closed Won,64000,2025-12-18,Aria Stephens,Mid-Market,East,2025-10-26,2025-12-21,183,Closed,true,true,New,Q4 2025,Q4 2025,2025-12-07,11
OPP-00137,Qualified,Torii Platform,Closed Lost,126000,2025-11-08,Sofia Ramirez,Mid-Market,West,2025-10-18,2025-11-09,225,Omit,false,true,Expansion,Q4 2025,Q4 2025,2025-10-30,9
OPP-00138,Demo,Productboard Systems,Closed Lost,24000,2025-06-01,Jordan Kelly,SMB,Central,2025-05-06,2025-06-03,384,Omit,false,true,New,Q2 2025,Q2 2025,2025-05-28,4
OPP-00139,Commit,Notion Labs,Closed Won,14000,2025-09-23,Liam Chen,SMB,West,2025-07-19,2025-09-23,272,Closed,true,true,Renewal,Q3 2025,Q3 2025,2025-09-06,17
OPP-00140,Demo,Paddle Analytics,Demo,800000,2026-05-08,Zara Mitchell,Enterprise,East,2026-01-02,2026-05-08,45,Best Case,false,false,New,Q1 2026,Q2 2026,2026-01-22,151
OPP-00141,Proposal,HighSpot Systems,Proposal,645000,2026-01-12,Mia Torres,Enterprise,West,2025-09-05,2026-06-13,9,Best Case,false,false,New,Q3 2025,Q1 2026,2025-09-29,266
OPP-00142,Prospect,Baremetrics Cloud,Prospect,266066,2026-05-30,Liam Chen,Enterprise,West,2026-01-12,2026-06-15,7,Omit,false,false,Expansion,Q1 2026,Q2 2026,2026-01-12,161
OPP-00143,Commit,Aha Software,Closed Won,74000,2025-12-08,Diego Fernandez,Mid-Market,East,2025-10-17,2025-12-11,193,Closed,true,true,New,Q4 2025,Q4 2025,2025-11-26,12
OPP-00144,Proposal,dbt Labs,Proposal,579000,2026-06-05,Noah Patel,Enterprise,Central,2026-01-31,2026-06-07,15,Best Case,false,false,New,Q1 2026,Q2 2026,2026-02-22,120
OPP-00145,Prospect,Atlan Platform,Prospect,388000,2026-02-03,Marcus Webb,Enterprise,Central,2025-11-02,2026-06-18,4,Omit,false,false,New,Q4 2025,Q1 2026,2025-11-02,232
OPP-00146,Qualified,ClientSuccess Data,Closed Lost,51000,2025-02-22,Diego Fernandez,Mid-Market,East,2025-01-29,2025-02-22,485,Omit,false,true,Churn,Q1 2025,Q1 2025,2025-02-16,6
OPP-00147,Proposal,Devrev Systems,Proposal,79000,2026-04-29,Sofia Ramirez,Mid-Market,West,2026-02-18,2026-06-03,19,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-14,100
OPP-00148,Prospect,Cognism Platform,Closed Lost,7311,2025-09-11,Avery Singh,SMB,Central,2025-09-01,2025-09-12,283,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-09-01,10
OPP-00149,Commit,Chartmogul Analytics,Closed Won,22000,2024-12-22,Noah Patel,SMB,Central,2024-10-27,2024-12-23,546,Closed,true,true,New,Q4 2024,Q4 2024,2024-12-08,14
OPP-00150,Prospect,Intercom Platform,Closed Lost,595000,2025-09-05,Zara Mitchell,Enterprise,East,2025-08-22,2025-09-08,287,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-08-22,14
OPP-00151,Prospect,Roadmunk Analytics,Closed Lost,698000,2024-08-06,Aria Stephens,Enterprise,East,2024-07-29,2024-08-07,684,Omit,false,true,Churn,Q3 2024,Q3 2024,2024-07-29,8
OPP-00152,Commit,Helix Data,Closed Won,92000,2024-03-28,Sofia Ramirez,Mid-Market,West,2024-02-06,2024-03-29,815,Closed,true,true,New,Q1 2024,Q1 2024,2024-03-15,13
OPP-00153,Qualified,Apollo Cloud,Qualified,153000,2026-03-25,Sofia Ramirez,Mid-Market,West,2026-01-14,2026-05-29,24,Best Case,false,false,New,Q1 2026,Q1 2026,2026-01-20,153
OPP-00154,Prospect,Orbit Platform,Prospect,19000,2026-04-18,Avery Singh,SMB,Central,2026-03-10,2026-06-06,16,Omit,false,false,New,Q1 2026,Q2 2026,2026-03-10,104
OPP-00155,Commit,Apollo Cloud,Closed Won,27000,2025-04-20,Mia Torres,SMB,West,2025-02-28,2025-04-23,425,Closed,true,true,New,Q1 2025,Q2 2025,2025-04-06,14
OPP-00156,Prospect,Vitally CS,Closed Lost,39000,2025-01-15,Aria Stephens,SMB,East,2025-01-03,2025-01-15,523,Omit,false,true,Churn,Q1 2025,Q1 2025,2025-01-03,12
OPP-00157,Commit,Castor Analytics,Closed Won,86000,2024-10-12,Aria Stephens,Mid-Market,East,2024-08-26,2024-10-12,618,Closed,true,true,Renewal,Q3 2024,Q4 2024,2024-09-29,13
OPP-00158,Commit,ZoomInfo Data,Closed Won,149000,2025-09-09,Aria Stephens,Mid-Market,East,2025-08-03,2025-09-09,286,Closed,true,true,New,Q3 2025,Q3 2025,2025-09-04,5
OPP-00159,Prospect,Intercom Platform,Closed Lost,416000,2025-03-22,Priya Kapoor,Enterprise,West,2025-03-14,2025-03-24,455,Omit,false,true,New,Q1 2025,Q1 2025,2025-03-14,8
OPP-00160,Commit,Selectstar Inc,Closed Won,89000,2024-01-18,Priya Kapoor,Mid-Market,West,2023-12-03,2024-01-21,883,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-10,8
OPP-00161,Commit,Sovos Analytics,Closed Won,40086,2025-11-10,Aria Stephens,Mid-Market,East,2025-09-27,2025-11-12,222,Closed,true,true,Expansion,Q3 2025,Q4 2025,2025-10-27,14
OPP-00162,Demo,Chargebee Cloud,Demo,80000,2026-05-26,Priya Kapoor,Mid-Market,West,2026-02-28,2026-06-03,19,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-19,95
OPP-00163,Qualified,Maxio Platform,Qualified,20853,2026-03-18,Aria Stephens,Mid-Market,East,2026-01-07,2026-06-11,11,Best Case,false,false,Expansion,Q1 2026,Q1 2026,2026-01-17,156
OPP-00164,Proposal,Orbit Platform,Proposal,159000,2026-09-17,Caleb Nguyen,Mid-Market,East,2026-07-12,2026-06-04,18,Best Case,false,false,New,Q3 2026,Q3 2026,2026-08-07,0
OPP-00165,Demo,Chartmogul Analytics,Demo,22000,2026-01-09,Liam Chen,SMB,West,2025-11-19,2026-06-09,13,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2025-11-29,205
OPP-00166,Prospect,Ironclad Platforms,Prospect,145815,2026-04-17,Zara Mitchell,Enterprise,East,2025-11-13,2026-06-18,4,Omit,false,false,Expansion,Q4 2025,Q2 2026,2025-11-13,221
OPP-00167,Prospect,Gainsight Cloud,Prospect,22000,2026-05-21,Aria Stephens,SMB,East,2026-04-14,2026-06-12,10,Omit,false,false,New,Q2 2026,Q2 2026,2026-04-14,69
OPP-00168,Demo,Selectstar Inc,Demo,111000,2026-01-13,Sofia Ramirez,Mid-Market,West,2025-10-19,2026-05-30,23,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2025-11-07,227
OPP-00169,Commit,Orbit Platform,Commit,24000,2026-05-14,Mia Torres,SMB,West,2026-03-29,2026-06-12,10,Commit,false,false,Expansion,Q1 2026,Q2 2026,2026-05-01,52
OPP-00170,Prospect,Soda Analytics,Prospect,621000,2026-01-21,Aria Stephens,Enterprise,East,2025-08-27,2026-06-20,2,Omit,false,false,New,Q3 2025,Q1 2026,2025-08-27,299
OPP-00171,Commit,Airfocus Cloud,Closed Won,399000,2024-07-12,Noah Patel,Enterprise,Central,2024-05-23,2024-07-13,709,Closed,true,true,New,Q2 2024,Q3 2024,2024-06-30,12
OPP-00172,Commit,ProfitWell Systems,Closed Won,254268,2025-08-02,Diego Fernandez,Enterprise,East,2025-06-14,2025-08-05,321,Closed,true,true,Expansion,Q2 2025,Q3 2025,2025-07-23,10
OPP-00173,Commit,Tidio Platform,Closed Won,579000,2025-09-21,Priya Kapoor,Enterprise,West,2025-08-02,2025-09-21,274,Closed,true,true,Renewal,Q3 2025,Q3 2025,2025-09-09,12
OPP-00174,Qualified,Clearbit Technologies,Qualified,68000,2026-06-17,Ethan Brooks,Mid-Market,West,2026-03-15,2026-06-08,14,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-27,87
OPP-00175,Proposal,Pulsar Systems,Proposal,380000,2026-04-06,Marcus Webb,Enterprise,Central,2025-11-24,2026-06-12,10,Best Case,false,false,New,Q4 2025,Q2 2026,2025-12-19,185
OPP-00176,Demo,Bombora Systems,Closed Lost,44036,2025-04-18,Ethan Brooks,Mid-Market,West,2025-03-22,2025-04-19,429,Omit,false,true,Expansion,Q1 2025,Q2 2025,2025-04-11,7
OPP-00177,Proposal,Seismic Analytics,Proposal,122000,2026-03-29,Liam Chen,Mid-Market,West,2026-01-06,2026-06-15,7,Best Case,false,false,New,Q1 2026,Q1 2026,2026-01-30,143
OPP-00178,Qualified,ChurnZero Analytics,Closed Lost,12226,2024-09-20,Elena Okafor,SMB,East,2024-09-08,2024-09-23,637,Omit,false,true,Expansion,Q3 2024,Q3 2024,2024-09-19,1
OPP-00179,Prospect,Warmly Cloud,Closed Lost,427000,2025-08-05,Mia Torres,Enterprise,West,2025-07-26,2025-08-08,318,Omit,false,true,New,Q3 2025,Q3 2025,2025-07-26,10
OPP-00180,Commit,Chargebee Cloud,Closed Won,767000,2025-06-02,Priya Kapoor,Enterprise,West,2025-04-10,2025-06-03,384,Closed,true,true,New,Q2 2025,Q2 2025,2025-05-21,12
OPP-00181,Commit,Bombora Systems,Closed Won,117000,2024-07-25,Sofia Ramirez,Mid-Market,West,2024-06-08,2024-07-27,695,Closed,true,true,New,Q2 2024,Q3 2024,2024-07-13,12
OPP-00182,Proposal,ProfitWell Systems,Proposal,298000,2026-03-01,Noah Patel,Enterprise,Central,2025-10-20,2026-06-07,15,Best Case,false,false,New,Q4 2025,Q1 2026,2025-11-08,226
OPP-00183,Qualified,ClientSuccess Data,Closed Lost,163000,2024-05-31,Ethan Brooks,Mid-Market,West,2024-05-13,2024-05-31,752,Omit,false,true,New,Q2 2024,Q2 2024,2024-05-26,5
OPP-00184,Prospect,Cobalt Security,Closed Lost,85000,2023-12-30,Jordan Kelly,Mid-Market,Central,2023-12-22,2023-12-30,905,Omit,false,true,New,Q4 2023,Q4 2023,2023-12-22,8
OPP-00185,Commit,Pocus Systems,Closed Won,341000,2024-02-25,Sofia Ramirez,Enterprise,West,2024-01-01,2024-02-26,847,Closed,true,true,New,Q1 2024,Q1 2024,2024-02-14,11
OPP-00186,Prospect,Monte Carlo Data,Closed Lost,533000,2025-03-26,Sofia Ramirez,Enterprise,West,2025-03-18,2025-03-26,453,Omit,false,true,New,Q1 2025,Q1 2025,2025-03-18,8
OPP-00187,Qualified,Cobalt Security,Qualified,349000,2026-07-18,Jordan Kelly,Enterprise,Central,2026-03-26,2026-05-22,31,Best Case,false,false,New,Q1 2026,Q3 2026,2026-04-06,77
OPP-00188,Demo,Catalyst Platform,Demo,17000,2026-03-18,Avery Singh,SMB,Central,2026-02-08,2026-05-05,48,Best Case,false,false,New,Q1 2026,Q1 2026,2026-03-05,109
OPP-00189,Qualified,Seismic Analytics,Qualified,406000,2026-04-09,Liam Chen,Enterprise,West,2025-10-26,2026-06-11,11,Best Case,false,false,New,Q4 2025,Q2 2026,2025-11-04,230
OPP-00190,Commit,ProfitWell Systems,Commit,33000,2026-03-11,Mia Torres,SMB,West,2026-01-30,2026-05-11,42,Commit,false,false,New,Q1 2026,Q1 2026,2026-03-10,104
OPP-00191,Prospect,ClientSuccess Data,Prospect,38320,2026-09-12,Caleb Nguyen,Mid-Market,East,2026-07-10,2026-05-30,23,Omit,false,false,Expansion,Q3 2026,Q3 2026,2026-07-10,0
OPP-00192,Commit,Freshdesk Systems,Closed Won,68000,2025-07-07,Sofia Ramirez,Mid-Market,West,2025-05-21,2025-07-09,348,Closed,true,true,New,Q2 2025,Q3 2025,2025-06-27,10
OPP-00193,Commit,Seismic Analytics,Commit,19000,2026-06-28,Mia Torres,SMB,West,2026-06-01,2026-05-18,35,Commit,false,false,New,Q2 2026,Q2 2026,2026-07-15,0
OPP-00194,Commit,Bombora Systems,Closed Won,45149,2025-01-03,Aria Stephens,Mid-Market,East,2024-11-03,2025-01-06,532,Closed,true,true,Expansion,Q4 2024,Q1 2025,2024-12-20,14
OPP-00195,Prospect,Blissfully Cloud,Closed Lost,135644,2025-06-14,Noah Patel,Enterprise,Central,2025-06-06,2025-06-16,371,Omit,false,true,Expansion,Q2 2025,Q2 2025,2025-06-06,8
OPP-00196,Commit,Devrev Systems,Closed Won,74000,2024-07-04,Jordan Kelly,Mid-Market,Central,2024-05-24,2024-07-07,715,Closed,true,true,New,Q2 2024,Q3 2024,2024-06-22,12
OPP-00197,Proposal,Retool Software,Proposal,578000,2026-05-16,Elena Okafor,Enterprise,East,2026-01-09,2026-06-13,9,Best Case,false,false,New,Q1 2026,Q2 2026,2026-01-25,148
OPP-00198,Prospect,Metaphor Networks,Prospect,613000,2026-07-02,Ethan Brooks,Enterprise,West,2026-04-04,2026-05-14,39,Omit,false,false,New,Q2 2026,Q3 2026,2026-04-04,79
OPP-00199,Prospect,Gladly Cloud,Prospect,333000,2026-01-05,Priya Kapoor,Enterprise,West,2025-08-31,2026-05-29,24,Omit,false,false,Expansion,Q3 2025,Q1 2026,2025-08-31,295
OPP-00200,Proposal,Chartmogul Analytics,Proposal,30000,2026-02-07,Elena Okafor,SMB,East,2025-12-28,2026-06-16,6,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2026-01-19,154
OPP-00201,Commit,Zuora Platform,Closed Won,13061,2025-07-22,Avery Singh,SMB,Central,2025-06-09,2025-07-23,334,Closed,true,true,Expansion,Q2 2025,Q3 2025,2025-07-09,13
OPP-00202,Qualified,Recurly Systems,Closed Lost,432000,2025-01-04,Priya Kapoor,Enterprise,West,2024-12-23,2025-01-04,534,Omit,false,true,Churn,Q4 2024,Q1 2025,2024-12-24,11
OPP-00203,Demo,Mutiny Systems,Demo,115000,2026-08-24,Aria Stephens,Mid-Market,East,2026-06-13,2026-06-21,1,Best Case,false,false,New,Q2 2026,Q3 2026,2026-07-04,0
OPP-00204,Commit,Front Systems,Closed Lost,360000,2025-09-17,Elena Okafor,Enterprise,East,2025-07-18,2025-09-18,277,Omit,false,true,Churn,Q3 2025,Q3 2025,2025-09-01,16
OPP-00205,Prospect,Front Systems,Prospect,136000,2026-04-11,Jordan Kelly,Mid-Market,Central,2026-01-12,2026-06-12,10,Omit,false,false,Renewal,Q1 2026,Q2 2026,2026-01-12,161
OPP-00206,Demo,Kustomer Analytics,Closed Lost,82000,2024-03-22,Aria Stephens,Mid-Market,East,2024-02-23,2024-03-24,820,Omit,false,true,Expansion,Q1 2024,Q1 2024,2024-03-15,7
OPP-00207,Demo,Maxio Platform,Demo,27841,2026-07-11,Avery Singh,Mid-Market,Central,2026-04-30,2026-06-12,10,Best Case,false,false,Expansion,Q2 2026,Q3 2026,2026-05-21,32
OPP-00208,Proposal,Rippling Networks,Proposal,492000,2026-04-29,Diego Fernandez,Enterprise,East,2026-02-01,2026-06-15,7,Best Case,false,false,New,Q1 2026,Q2 2026,2026-02-27,115
OPP-00209,Commit,Anomalo Systems,Closed Won,14000,2024-10-05,Avery Singh,SMB,Central,2024-08-13,2024-10-05,625,Closed,true,true,New,Q3 2024,Q4 2024,2024-09-22,13
OPP-00210,Proposal,Outreach Systems,Closed Lost,102000,2025-09-18,Marcus Webb,Mid-Market,Central,2025-08-06,2025-09-21,274,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-09-03,15
OPP-00211,Prospect,Secoda Data,Closed Lost,413000,2024-07-29,Sofia Ramirez,Enterprise,West,2024-07-19,2024-08-01,690,Omit,false,true,New,Q3 2024,Q3 2024,2024-07-19,10
OPP-00212,Commit,Common Room,Closed Won,83000,2024-01-19,Diego Fernandez,Mid-Market,East,2023-11-29,2024-01-21,883,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-06,13
OPP-00213,Qualified,Chargebee Cloud,Qualified,160870,2026-04-07,Zara Mitchell,Enterprise,East,2025-12-03,2026-06-02,20,Best Case,false,false,Expansion,Q4 2025,Q2 2026,2025-12-12,192
OPP-00214,Qualified,Cobalt Security,Closed Lost,25000,2025-03-27,Liam Chen,SMB,West,2025-03-09,2025-03-28,451,Omit,false,true,New,Q1 2025,Q1 2025,2025-03-17,10
OPP-00215,Commit,Aha Software,Closed Won,108000,2024-03-19,Sofia Ramirez,Mid-Market,West,2024-01-28,2024-03-22,822,Closed,true,true,Renewal,Q1 2024,Q1 2024,2024-03-05,14
OPP-00216,Demo,Seismic Analytics,Demo,116000,2026-03-01,Sofia Ramirez,Mid-Market,West,2025-12-23,2026-06-17,5,Best Case,false,false,New,Q4 2025,Q1 2026,2026-01-10,163
OPP-00217,Demo,Chisel Analytics,Demo,87000,2026-05-29,Caleb Nguyen,Mid-Market,East,2026-02-06,2026-04-28,55,Best Case,false,false,New,Q1 2026,Q2 2026,2026-02-21,121
OPP-00218,Commit,Castor Analytics,Closed Won,290430,2025-09-19,Priya Kapoor,Enterprise,West,2025-07-26,2025-09-22,273,Closed,true,true,Expansion,Q3 2025,Q3 2025,2025-09-03,16
OPP-00219,Commit,Gladly Cloud,Closed Won,18000,2025-02-12,Noah Patel,SMB,Central,2024-12-21,2025-02-14,493,Closed,true,true,Expansion,Q4 2024,Q1 2025,2025-02-03,9
OPP-00220,Commit,Mosaic Cloud,Closed Won,86000,2024-05-30,Ethan Brooks,Mid-Market,West,2024-04-17,2024-05-31,752,Closed,true,true,Expansion,Q2 2024,Q2 2024,2024-05-18,12
OPP-00221,Commit,Mosaic Cloud,Closed Won,81000,2025-10-25,Ethan Brooks,Mid-Market,West,2025-09-06,2025-10-25,240,Closed,true,true,Renewal,Q3 2025,Q4 2025,2025-10-13,12
OPP-00222,Commit,Brex Platform,Closed Won,461000,2024-02-03,Marcus Webb,Enterprise,Central,2023-12-24,2024-02-06,867,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-23,11
OPP-00223,Qualified,Alation Analytics,Closed Lost,19000,2024-03-13,Mia Torres,SMB,West,2024-02-20,2024-03-14,830,Omit,false,true,New,Q1 2024,Q1 2024,2024-03-04,9
OPP-00224,Commit,Chorus Analytics,Commit,105000,2026-01-14,Avery Singh,Mid-Market,Central,2025-10-29,2026-06-11,11,Commit,false,false,Renewal,Q4 2025,Q1 2026,2025-12-14,190
OPP-00225,Commit,Roadmunk Analytics,Closed Won,274436,2025-02-03,Noah Patel,Enterprise,Central,2024-12-17,2025-02-06,501,Closed,true,true,Expansion,Q4 2024,Q1 2025,2025-01-20,14
OPP-00226,Commit,Intercom Platform,Closed Won,695000,2025-10-28,Marcus Webb,Enterprise,Central,2025-09-02,2025-10-28,237,Closed,true,true,New,Q3 2025,Q4 2025,2025-10-11,17
OPP-00227,Qualified,Airbyte Data,Qualified,19000,2026-02-05,Mia Torres,SMB,West,2025-12-21,2026-06-12,10,Best Case,false,false,New,Q4 2025,Q1 2026,2025-12-31,173
OPP-00228,Commit,Gainsight Cloud,Closed Won,293000,2024-10-17,Avery Singh,Enterprise,Central,2024-09-06,2024-10-18,612,Closed,true,true,Expansion,Q3 2024,Q4 2024,2024-10-06,11
OPP-00229,Commit,Catalyst Platform,Closed Won,19000,2025-01-13,Mia Torres,SMB,West,2024-11-20,2025-01-15,523,Closed,true,true,New,Q4 2024,Q1 2025,2025-01-01,12
OPP-00230,Demo,Chorus Analytics,Demo,118107,2026-07-11,Marcus Webb,Enterprise,Central,2026-03-26,2026-06-04,18,Best Case,false,false,Expansion,Q1 2026,Q3 2026,2026-04-12,71
OPP-00231,Commit,Figment Cloud,Closed Won,22000,2025-12-10,Sofia Ramirez,SMB,West,2025-10-15,2025-12-11,193,Closed,true,true,New,Q4 2025,Q4 2025,2025-11-23,17
OPP-00232,Prospect,Lusha Analytics,Closed Lost,120237,2024-03-18,Noah Patel,Enterprise,Central,2024-03-15,2024-03-21,823,Omit,false,true,Expansion,Q1 2024,Q1 2024,2024-03-15,3
OPP-00233,Proposal,Maxio Platform,Proposal,29000,2026-05-22,Elena Okafor,SMB,East,2026-04-14,2026-05-30,23,Best Case,false,false,Renewal,Q2 2026,Q2 2026,2026-05-05,48
OPP-00234,Prospect,Ada Support,Closed Lost,536000,2025-09-13,Caleb Nguyen,Enterprise,East,2025-09-07,2025-09-15,280,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-09-07,6
OPP-00235,Demo,Monte Carlo Data,Closed Lost,71000,2025-06-08,Sofia Ramirez,Mid-Market,West,2025-05-15,2025-06-10,377,Omit,false,true,New,Q2 2025,Q2 2025,2025-06-04,4
OPP-00236,Demo,ZoomInfo Data,Demo,410000,2026-01-15,Marcus Webb,Enterprise,Central,2025-09-09,2026-06-20,2,Best Case,false,false,Renewal,Q3 2025,Q1 2026,2025-09-26,269
OPP-00237,Commit,Figment Cloud,Closed Won,207292,2025-07-30,Aria Stephens,Enterprise,East,2025-06-08,2025-08-01,325,Closed,true,true,Expansion,Q2 2025,Q3 2025,2025-07-16,14
OPP-00238,Demo,Airfocus Cloud,Demo,5358,2026-04-17,Marcus Webb,SMB,Central,2026-03-12,2026-05-03,50,Best Case,false,false,Expansion,Q1 2026,Q2 2026,2026-04-04,79
OPP-00239,Commit,Vitally CS,Commit,115000,2026-04-07,Jordan Kelly,Mid-Market,Central,2026-01-06,2026-06-18,4,Commit,false,false,Renewal,Q1 2026,Q2 2026,2026-02-07,135
OPP-00240,Commit,Helix Data,Closed Won,254000,2024-12-06,Avery Singh,Enterprise,Central,2024-10-09,2024-12-08,561,Closed,true,true,Renewal,Q4 2024,Q4 2024,2024-11-22,14
OPP-00241,Qualified,Orbit Platform,Qualified,19000,2026-08-13,Liam Chen,SMB,West,2026-06-30,2026-06-18,4,Best Case,false,false,New,Q2 2026,Q3 2026,2026-07-10,0
OPP-00242,Proposal,Common Room,Proposal,30000,2026-02-27,Aria Stephens,SMB,East,2026-01-27,2026-06-13,9,Best Case,false,false,Renewal,Q1 2026,Q1 2026,2026-02-17,125
OPP-00243,Qualified,Mutiny Systems,Closed Lost,693000,2024-10-22,Noah Patel,Enterprise,Central,2024-10-09,2024-10-23,607,Omit,false,true,New,Q4 2024,Q4 2024,2024-10-13,9
OPP-00244,Commit,Kustomer Analytics,Closed Won,26000,2024-03-08,Ethan Brooks,SMB,West,2024-01-16,2024-03-08,836,Closed,true,true,New,Q1 2024,Q1 2024,2024-02-28,9
OPP-00245,Qualified,Chorus Analytics,Qualified,133000,2026-02-15,Sofia Ramirez,Mid-Market,West,2025-11-15,2026-06-21,1,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2025-11-29,205
OPP-00246,Proposal,Correlated SaaS,Proposal,15890,2026-04-11,Avery Singh,SMB,Central,2026-02-22,2026-06-20,2,Best Case,false,false,Expansion,Q1 2026,Q2 2026,2026-03-11,103
OPP-00247,Commit,Figment Cloud,Commit,52766,2026-08-02,Caleb Nguyen,Mid-Market,East,2026-04-24,2026-06-15,7,Commit,false,false,Expansion,Q2 2026,Q3 2026,2026-05-28,25
OPP-00248,Qualified,Chorus Analytics,Qualified,515000,2026-01-26,Diego Fernandez,Enterprise,East,2025-10-02,2026-06-12,10,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2025-10-12,253
OPP-00249,Commit,Torii Platform,Closed Won,52000,2025-01-25,Aria Stephens,Mid-Market,East,2024-12-05,2025-01-27,511,Closed,true,true,Expansion,Q4 2024,Q1 2025,2025-01-09,16
OPP-00250,Commit,Planhat Systems,Closed Won,16000,2024-08-05,Avery Singh,SMB,Central,2024-06-10,2024-08-07,684,Closed,true,true,New,Q2 2024,Q3 2024,2024-07-20,16
OPP-00251,Commit,Endgame Platform,Closed Won,96000,2025-11-09,Diego Fernandez,Mid-Market,East,2025-09-18,2025-11-10,224,Closed,true,true,New,Q3 2025,Q4 2025,2025-10-30,10
OPP-00252,Commit,HighSpot Systems,Closed Won,26000,2024-07-21,Elena Okafor,SMB,East,2024-05-27,2024-07-23,699,Closed,true,true,Expansion,Q2 2024,Q3 2024,2024-07-09,12
OPP-00253,Prospect,Paddle Analytics,Closed Lost,356000,2024-08-27,Zara Mitchell,Enterprise,East,2024-08-25,2024-08-28,663,Omit,false,true,New,Q3 2024,Q3 2024,2024-08-25,2
OPP-00254,Demo,Drift Cloud,Demo,91000,2026-09-01,Priya Kapoor,Mid-Market,West,2026-05-30,2026-06-20,2,Best Case,false,false,New,Q2 2026,Q3 2026,2026-06-15,7
OPP-00255,Commit,Chorus Analytics,Closed Won,83000,2025-11-16,Sofia Ramirez,Mid-Market,West,2025-09-29,2025-11-19,215,Closed,true,true,Renewal,Q3 2025,Q4 2025,2025-11-04,12
OPP-00256,Prospect,Gong Revenue,Prospect,135000,2026-05-06,Sofia Ramirez,Mid-Market,West,2026-03-02,2026-06-14,8,Omit,false,false,New,Q1 2026,Q2 2026,2026-03-02,112
OPP-00257,Qualified,Zuora Platform,Qualified,94225,2026-09-17,Zara Mitchell,Enterprise,East,2026-05-01,2026-06-16,6,Best Case,false,false,Expansion,Q2 2026,Q3 2026,2026-05-13,40
OPP-00258,Prospect,Common Room,Prospect,262933,2026-05-26,Marcus Webb,Enterprise,Central,2026-01-26,2026-06-19,3,Omit,false,false,Expansion,Q1 2026,Q2 2026,2026-01-26,147
OPP-00259,Prospect,Qualified Platform,Prospect,521000,2026-05-13,Noah Patel,Enterprise,Central,2025-10-27,2026-06-15,7,Omit,false,false,New,Q4 2025,Q2 2026,2025-10-27,238
OPP-00260,Commit,Craft Platform,Closed Won,176358,2024-01-18,Priya Kapoor,Enterprise,West,2023-11-28,2024-01-20,884,Closed,true,true,Expansion,Q4 2023,Q1 2024,2023-12-29,20
OPP-00261,Commit,Lusha Analytics,Commit,154000,2026-02-27,Diego Fernandez,Mid-Market,East,2025-12-04,2026-06-15,7,Commit,false,false,Renewal,Q4 2025,Q1 2026,2026-01-15,158
OPP-00262,Commit,HighSpot Systems,Closed Lost,144151,2025-11-13,Sofia Ramirez,Enterprise,West,2025-09-24,2025-11-15,219,Omit,false,true,Expansion,Q3 2025,Q4 2025,2025-10-31,13
OPP-00263,Demo,Secoda Data,Demo,25000,2026-06-29,Liam Chen,SMB,West,2026-06-01,2026-06-19,3,Best Case,false,false,Expansion,Q2 2026,Q2 2026,2026-06-10,12
OPP-00264,Prospect,Aha Software,Prospect,31000,2026-01-13,Caleb Nguyen,SMB,East,2025-12-09,2026-06-09,13,Omit,false,false,Renewal,Q4 2025,Q1 2026,2025-12-09,195
OPP-00265,Commit,Runway Financial,Closed Won,68000,2024-02-10,Diego Fernandez,Mid-Market,East,2023-12-17,2024-02-10,863,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-24,17
OPP-00266,Qualified,Airfocus Cloud,Closed Lost,103000,2024-01-19,Caleb Nguyen,Mid-Market,East,2023-12-28,2024-01-20,884,Omit,false,true,Churn,Q4 2023,Q1 2024,2024-01-10,9
OPP-00267,Commit,Common Room,Closed Won,34389,2025-11-02,Aria Stephens,Mid-Market,East,2025-09-09,2025-11-03,231,Closed,true,true,Expansion,Q3 2025,Q4 2025,2025-10-20,13
OPP-00268,Commit,Airbyte Data,Closed Won,147000,2024-09-29,Ethan Brooks,Mid-Market,West,2024-08-13,2024-10-02,628,Closed,true,true,New,Q3 2024,Q3 2024,2024-09-17,12
