assignment_id,project_id,consultant_id,allocation_pct,assignment_role,assigned_start_date,assigned_end_date
AS00358,PR0046,CN087,0.75,Project Manager,2025-01-29,2025-07-18
AS00359,PR0046,CN050,1.0,Senior Consultant,2025-01-29,2025-07-18
AS00360,PR0046,CN053,0.5,Data Engineer,2025-01-29,2025-07-18
AS00361,PR0046,CN094,0.5,QA Engineer,2025-01-29,2025-07-18
AS00362,PR0046,CN118,1.0,Senior Consultant,2025-01-29,2025-07-18
AS00363,PR0047,CN108,0.4,Consultant,2025-01-25,2025-09-09
AS00364,PR0047,CN073,0.6,Data Engineer,2025-01-25,2025-09-09
AS00365,PR0047,CN007,0.6,Lead Consultant,2025-01-25,2025-09-09
AS00366,PR0047,CN031,0.5,Data Visualization Designer,2025-01-25,2025-09-09
AS00367,PR0047,CN043,0.4,Consultant,2025-01-25,2025-09-09
AS00368,PR0047,CN029,0.5,Project Manager,2025-01-25,2025-09-09
AS00369,PR0047,CN075,0.75,Consultant,2025-01-25,2025-09-09
AS00370,PR0047,CN106,0.5,Data Visualization Designer,2025-01-25,2025-09-09
AS00371,PR0047,CN077,0.75,Data Engineer,2025-01-25,2025-09-09
AS00372,PR0047,CN036,0.25,Lead Consultant,2025-01-25,2025-09-09
AS00373,PR0048,CN113,0.25,QA Engineer,2025-09-14,2025-11-10
AS00374,PR0048,CN016,0.75,QA Engineer,2025-09-14,2025-11-10
AS00375,PR0048,CN088,0.5,Senior Consultant,2025-09-14,2025-11-10
AS00376,PR0048,CN089,0.5,QA Engineer,2025-09-14,2025-11-10
AS00377,PR0048,CN098,0.6,Data Engineer,2025-09-14,2025-11-10
AS00378,PR0049,CN030,0.6,Solution Architect,2025-01-10,2025-03-26
AS00379,PR0049,CN045,1.0,Consultant,2025-01-10,2025-03-26
AS00380,PR0049,CN090,0.5,Data Visualization Designer,2025-01-10,2025-03-26
AS00381,PR0049,CN032,0.75,Solution Architect,2025-01-10,2025-03-26
AS00382,PR0049,CN001,0.75,Data Visualization Designer,2025-01-10,2025-03-26
AS00383,PR0049,CN108,0.25,Consultant,2025-01-10,2025-03-26
AS00384,PR0049,CN064,0.25,Solution Architect,2025-01-10,2025-03-26
AS00385,PR0049,CN072,0.25,Consultant,2025-01-10,2025-03-26
AS00386,PR0050,CN103,0.4,Consultant,2025-04-12,2025-11-15
AS00387,PR0050,CN027,0.75,Solution Architect,2025-04-12,2025-11-15
AS00388,PR0050,CN085,0.25,Senior Consultant,2025-04-12,2025-11-15
AS00389,PR0050,CN047,0.75,Lead Consultant,2025-04-12,2025-11-15
AS00390,PR0050,CN011,0.6,Senior Consultant,2025-04-12,2025-11-15
AS00391,PR0050,CN083,1.0,Project Manager,2025-04-12,2025-11-15
AS00392,PR0050,CN003,0.25,Consultant,2025-04-12,2025-11-15
AS00393,PR0050,CN072,0.25,Consultant,2025-04-12,2025-11-15
AS00394,PR0050,CN115,0.25,QA Engineer,2025-04-12,2025-11-15
AS00395,PR0050,CN004,0.25,Lead Consultant,2025-04-12,2025-11-15
AS00396,PR0051,CN103,0.75,Consultant,2025-10-05,2025-12-15
AS00397,PR0051,CN098,1.0,Data Engineer,2025-10-05,2025-12-15
AS00398,PR0051,CN083,0.75,Project Manager,2025-10-05,2025-12-15
AS00399,PR0051,CN110,0.75,Data Visualization Designer,2025-10-05,2025-12-15
AS00400,PR0052,CN070,0.5,QA Engineer,2026-01-31,2026-06-30
AS00401,PR0052,CN020,0.4,Project Manager,2026-01-31,2026-06-30
AS00402,PR0052,CN057,0.4,Data Engineer,2026-01-31,2026-06-30
AS00403,PR0052,CN061,0.6,Consultant,2026-01-31,2026-06-30
AS00404,PR0052,CN074,0.75,Senior Consultant,2026-01-31,2026-06-30
AS00405,PR0053,CN019,0.6,Consultant,2024-11-23,2025-06-03
AS00406,PR0053,CN097,0.5,Consultant,2024-11-23,2025-06-03
AS00407,PR0053,CN034,0.5,Data Visualization Designer,2024-11-23,2025-06-03
AS00408,PR0053,CN035,0.75,Data Visualization Designer,2024-11-23,2025-06-03
AS00409,PR0053,CN075,0.25,Consultant,2024-11-23,2025-06-03
AS00410,PR0053,CN021,0.75,Data Engineer,2024-11-23,2025-06-03
AS00411,PR0053,CN045,0.6,Consultant,2024-11-23,2025-06-03
AS00412,PR0053,CN067,0.25,Senior Consultant,2024-11-23,2025-06-03
AS00413,PR0053,CN018,0.6,QA Engineer,2024-11-23,2025-06-03
AS00414,PR0053,CN077,0.6,Data Engineer,2024-11-23,2025-06-03
AS00415,PR0053,CN058,0.6,Senior Consultant,2024-11-23,2025-06-03
AS00416,PR0054,CN004,0.25,Lead Consultant,2025-11-03,2026-03-20
AS00417,PR0054,CN100,1.0,Data Engineer,2025-11-03,2026-03-20
AS00418,PR0054,CN095,0.25,Data Visualization Designer,2025-11-03,2026-03-20
AS00419,PR0054,CN046,0.6,QA Engineer,2025-11-03,2026-03-20
AS00420,PR0054,CN089,0.6,QA Engineer,2025-11-03,2026-03-20
AS00421,PR0054,CN009,0.4,QA Engineer,2025-11-03,2026-03-20
AS00422,PR0054,CN071,0.25,Solution Architect,2025-11-03,2026-03-20
AS00423,PR0054,CN024,0.25,Consultant,2025-11-03,2026-03-20
AS00424,PR0054,CN115,0.75,QA Engineer,2025-11-03,2026-03-20
AS00425,PR0055,CN109,0.6,QA Engineer,2026-01-19,2026-06-01
AS00426,PR0055,CN058,1.0,Senior Consultant,2026-01-19,2026-06-01
AS00427,PR0055,CN023,1.0,Project Manager,2026-01-19,2026-06-01
AS00428,PR0055,CN067,0.75,Senior Consultant,2026-01-19,2026-06-01
AS00429,PR0055,CN045,0.25,Consultant,2026-01-19,2026-06-01
AS00430,PR0055,CN111,0.5,Data Engineer,2026-01-19,2026-06-01
AS00431,PR0055,CN046,0.5,QA Engineer,2026-01-19,2026-06-01
AS00432,PR0056,CN011,0.4,Senior Consultant,2025-06-15,2026-01-16
AS00433,PR0056,CN057,0.4,Data Engineer,2025-06-15,2026-01-16
AS00434,PR0056,CN101,0.25,Lead Consultant,2025-06-15,2026-01-16
AS00435,PR0056,CN076,0.25,Lead Consultant,2025-06-15,2026-01-16
AS00436,PR0056,CN072,0.5,Consultant,2025-06-15,2026-01-16
AS00437,PR0056,CN014,0.75,QA Engineer,2025-06-15,2026-01-16
